country,pop,density pop,sex ratio,gdp,gdp_percap,%agric,%indust,%services,unemployment,exports,imports,%urbanpop,fertility,inf_mort,internet,exp_fem,exp_male,cat
Saudi Arabia,32938,15.3,132.9,653219,20710.6,2.3,46,51.8,5.5,182329,135904,83.1,2.7,13,131,75.6,72.7,2
Senegal,15851,82.3,96.6,13633,901.1,15.5,24.1,60.4,9.3,2640,5478,43.7,5,43.9,123,67.5,63.8,4
Serbia,8791,100.5,95.6,37160,5238.6,8.2,31.4,60.5,15.5,14852,19231,55.6,1.6,9.8,71,77.5,71.8,2
Seychelles,95,206,97.2,1363,14133.2,2.7,13.6,83.8,4.1,335,833,53.9,2.4,10.2,439,77.9,68.7,2
Sierra Leone,7557,104.7,98.1,4483,694.8,51.4,17.6,31.1,3.1,466,958,39.9,4.8,94.4,177,50.7,49.6,4
Singapore,5709,8155.5,97.7,292734,52239,0.01,26.4,73.6,2,329871,283009,100,1.2,2.1,293,84.5,80.1,1
Slovakia,5448,113.3,94.6,87268,16082.5,3.7,34.8,61.5,9.9,77565,75156,53.6,1.4,5.7,54,79.8,72.6,2
Slovenia,2080,103.3,98.6,42777,20689.8,2.4,32.7,64.9,8.1,27585,26646,49.7,1.6,2.5,143,83.2,77.2,1
Solomon Islands,611,21.8,103.4,1075,1841.6,28.2,15.6,56.3,31.4,437,454,22.3,4.1,30,245,71.1,68.3,4
South Africa,56717,46.8,96.4,314571,5773,2.4,28.9,68.7,26,74111,74744,64.8,2.6,36.5,581,63,56.1,3
Spain,46354,92.9,96.2,1192955,25865.4,2.6,23.6,73.7,18.3,281777,302539,79.6,1.3,2.9,617,85.3,79.6,2
Sri Lanka,20877,332.9,92.5,82316,3973.7,8.7,30.7,60.6,5.2,10546,19501,18.4,2.1,8.2,587,78,71.2,2
State of Palestine,4921,817.4,102.9,12677,2715.5,4.8,23.4,71.9,24.2,929,5058,75.3,4.2,20,31,74.8,71.1,3
Sudan,40533,23,99.9,79546,1977,32.4,20.1,47.6,13.4,1797,7658,33.8,4.8,48.7,133,65.1,62.1,4
Suriname,563,3.6,100.7,4879,8985.3,11.4,27.4,61.1,9.9,1437,1244,66,2.5,17.4,83,74.2,67.8,3
Swaziland,1367,79.5,93.9,4133,3211.7,6.6,42.1,51.3,25.1,1881,733,21.3,3.3,56.3,34,58.2,51.6,4
Sweden,9911,24.2,100.2,495694,50687.5,1.3,26.3,72.4,7.3,139574,140838,85.8,1.9,2.4,54,83.7,80,1
Switzerland,8476,214.5,98.2,670790,80831.1,0.7,25.5,73.8,4.6,304691,269157,73.9,1.5,3.9,74,84.8,80.5,1
Syrian Arab Republic,18270,99.5,102.1,28393,1534.5,20.7,30,49.3,13.8,1265,2383,57.7,3.1,17.9,132,76.3,64.4,4
Tajikistan,8921,63.7,100.9,7853,925.9,25,28,47.1,10.8,899,3030,26.8,3.5,38.9,45,73.5,67.7,3
Thailand,69038,135.1,95.2,395168,5814.8,9.1,35.7,55.1,0.6,213927,195666,50.4,1.5,11.2,611,78.4,70.8,2
Togo,7798,143.4,99.4,4086,559.4,45.7,19.7,34.6,6.8,715,1716,40,4.7,55.7,80,59.8,58.3,4
Tonga,108,150,100.7,402,3784.5,22.4,21.5,56.1,4.8,14,209,23.7,3.8,20.6,79,75.6,69.6,3
Trinidad and Tobago,1369,266.9,97.1,25927,19062.9,0.5,42.5,57,4.2,4576,4826,8.4,1.8,24.8,69,73.8,66.9,2
Tunisia,11532,74.2,97.6,41199,3660.9,10.3,27.8,62,14.6,13483,19456,66.8,2.3,18.5,96,77.1,73,3
Turkey,80745,104.9,97,717888,9125.8,8.6,26.4,65,10.8,142606,198602,73.4,2.1,12.6,388,78.1,71.5,2
Turkmenistan,5758,12.3,97,37597,6996.7,13.4,51,35.6,8.6,3741,2616,50,3,46.9,54,70.8,63.9,3
Uganda,42863,214.5,99,25282,647.7,25.6,21.5,52.9,2.4,2755,3750,16.1,5.9,60.2,196,60.7,56.5,4
Ukraine,44223,76.3,86,90615,2021.6,14,26.3,59.7,8.8,36369,39184,69.7,1.5,8.8,102,76,66.1,2
United Arab Emirates,9400,112.4,262.4,370296,40438.8,0.7,44.9,54.4,3.7,195613,201908,85.5,1.8,6.2,56,78.2,76,2
United Kingdom,66182,273.6,97.4,2858003,44162.4,0.7,19.4,79.9,5,415856,635570,82.6,1.9,4.1,102,82.8,79,1
United Republic of Tanzania,57310,64.7,97.8,45628,877.3,31.1,26.1,42.9,2.7,4742,7876,31.6,5.2,44,1082,64.8,60.8,4
United States of America,324460,35.5,98,18036648,56053.8,1,19.7,79.3,4.9,1453167,2249661,81.6,1.9,6,1513,81.2,76.5,1
Uruguay,3457,19.8,93.5,53442,15573.8,6.8,28,65.2,8.8,6964,8137,95.3,2,12.7,106,80.4,73.2,2
Uzbekistan,31911,75,99.4,69004,2308.3,19.2,32.9,47.9,8.9,27947,25652,36.4,2.4,31.3,59,73.5,68.1,3
Vanuatu,276,22.7,102.4,737,2783,26.7,8.4,64.9,5.3,50,416,26.1,3.4,24.3,137,73.6,69.4,4
Venezuela,31977,36.3,99,344331,11068.9,5.3,44.7,50,6.6,19731,16324,89,2.4,13.8,328,78.2,69.9,2
Viet Nam,95541,308.1,98,193241,2067.9,18.9,37,44.2,2.2,176632,174111,33.6,2,19.3,616,80.3,70.7,3
Yemen,28250,53.5,102.1,29688,1106.4,14.7,36.9,48.4,16.1,570,6861,34.6,4.4,47.2,298,65.6,62.8,4
Zambia,17094,23,98.5,21255,1311.1,8.2,32.3,59.5,7.4,6505,7442,40.9,5.2,53.8,88,61.9,57.5,4
Zimbabwe,16530,42.7,95,13893,890.4,13,30.5,56.5,5,2832,5212,32.4,4,46.5,89,59,56.1,4
